name,description,cuisine
Chilli Chicken Cheese Quesadilla Recipe,"Chilli Chicken & Cheese Quesadilla Recipe is a fusion recipe of a classic chili chicken filled inside a mexican quesadilla. Flavoursome chicken tossed in sauces and made spicy which is then filled in tortillas, and a generous helping of cheese to balance out the heat of the chilli chicken.  The chili chicken stuffed quesadillas are then lightly toasted to give it a crunch.",Mexican
Oven Baked Lemon & Herb Zucchini Fries Recipe,"Oven Baked Lemon & Herb Zucchini Fries is a delicious alternative to the otherwise oily, calorie packed fries.",Continental
Goan Sorak Curry Recipe,"Goan Sorak Curry Recipe is a sweet, spicy, tangy and delicious curry made with a freshly ground coconut masala which has a perfect blend of coconut, onion, garlic and red chillies. It is a flavourful curry with sweet notes from the addition of jaggery, tangy notes from fresh kokum, and heat from the red and green chillies. ",Goan Recipes
Pavakka Pachadi Recipe - Bitter Gourd Pachadi,"Pavakka Pachadi which is also called as Bitter Gourd Pachadi is a very easy comforting side dish from Kerala cuisine. It's made with bitter gourd, coconut and curd as main ingredients. It tastes great with rice. The initial prep, sauteing and curd helps in reducing the bitterness to a great extent, making the pachadi really tasty.",Kerala Recipes
Vegetable Quinoa Patty Recipe,Vegetable Quinoa Patty Recipe is a simple and quick recipe packed with vegetables and all the goodness of Quinoa. You can add a handful of your favourite ingredients to make it more rich and that satisfies your taste buds. This Quinoa patty can be served for dinner along with a Soup or a Salad or as a snack.,Continental
Goan Style Brinjal Bharta Recipe,Traditionally Goan Brinjal Bharta Recipe is cooked by roasting brinjals on charcoal. But the brinjals also can be grilled on a grill or directly on the gas by keeping a wired mesh. I have roasted it on a wired mesh in this recipe.,Goan Recipes
Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,Senai Kizhangu Ghostu Recipe (Spicy & Tangy Yam Curry Recipe) is a comforting recipe made with chopped yam that is pressure cooked with tangy and spicy curry. Yam is a wonderful root vegetable that will help as a cooling agent. It is the best vegetable to fight against any cold or flu.,Tamil Nadu
Mixed Beans Salad Recipe,"Mixed Beans Salad is a wholesome, healthy and easy to make recipe. When you have some pre-cooked beans in the fridge this salad could be prepared in just a few minutes. Fresh bell peppers, cherry tomatoes are added the beans along with a zesty vinaigrette made with dijon mustard, white wine vinegar to make this salad packed full of flavour.",Continental
Biyyapu Rotte Recipe (Rice Flour Roti),"Biyyapu Rotte or Rice flour roti is an authentic breakfast dish in south household's, traditionally served with kurma or peanut chutney. These rotis are cottony soft, tasty and healthy too. They make for a perfect breakfast or lunch option.",South Indian Recipes
Goan Vegetable Curry Recipe,Goan Vegetable Curry Recipe is a classic dish from Goa. It is a part of day to day meal. It is made with mixed vegetables. This dish is simple and easy to make.You can add vegetables according to your taste and preference. Its creamy and coconut based and will spice up your everyday meal.,Goan Recipes
Asian Style Mixed Fried Rice Recipe,"Asian Style Mixed Fried Rice is a quick recipe of rice tossed with sauces and veggies. The sauces used in this recipe are all present in our kitchen pantry and all you need to do is assemble everything to get delicious spicy Thai meal on your table. The best part is you can make this with left over steamed rice. Any of your favourite veggies can be used to make this Asian style mixed fried rice, an egg can also be used along with the veggies.",Asian
Padipe Saasmi Recipe - Udupi Style Amaranth Leaves Curry With Coconut & Tamarind,Cuisine of our country is amazing and the variety of spinach we get is even better. Variety of spinach used in different kind of dishes and in all the cuisines of India makes our culinary culture rich and amazing.,Udupi
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"The Hariyali Egg Curry Recipe With Coriander and Mint, is a delicious curry made with the addition of coriander and mint combined along with some spices. Coriander, popularly known as cilantro in the west and dhania in the Indian subcontinent, is a very commonly used herb in the kitchen.",Indian
Bhindi Masala Gravy Recipe - Ladies Finger In Tomato Onion Gravy,"Bhindi Masala is a simple gravy recipe in which okra/bhindi is cooked in a tomato onion based gravy. Full of flavour and taste, this masala gravy is specially served with Biryanis. But, you can also serve it for your everyday meal along with Phulka/ Paratha and your choice of raita. ",North Indian Recipes
Andhra Style Munakkada Masala Kura Recipe - Drumstick Dry Curry Recipe,"Andhra Style Munakkada Masala Kura Recipe (Drumstick Dry Curry Recipe) is a dry gravy made with drumstick cooked in a rich gravy made with ground roasted peanuts, coriander seeds, cinnamon and cardamom pods. The Andhra cuisine is mostly spicy and rich. They prefer to use ground spice in most of their dishes.",Andhra
Pasta In Spinach Basil Sauce Recipe,Pasta In Spinach Basil Sauce Recipe is one of the favorite pasta dishes of the family. It tastes delicious and serves healthy food criteria. This is a must try recipe for all spinach lovers.,Italian Recipes
Curried Poor Curry,"Kongunadu, the areas around Coimbatore and Erode is a fertile region. Every home in the village has their own garden and the people are passionate about growing their own fruits and vegetables. In the Kongunadu Cuisine lots of coconut and tomatoes are used as they are widely grown in these areas. Of course the taste of tomatoes grown there cannot be matched with the ones available in cities. The masalas are mildly spicy, tangy and tasty. Their dishes can be made quickly with simple ingredients in your pantry with very less effort. Potatoes are cooked in a tangy tomato-onion gravy .",South Indian Recipes
Konkani Style Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry,"Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry, Koddel one of the traditional curry made by people in the Konkan region. Koddel is basically a coconut and dry red chilli gravy that seasoned with good amount of garlic. The vegetable that is being added into the curry may vary depending on the seasonal produce. It is usually the mangalore cucumber that are locally available and it is accompanied with lentils like horse gram or black eyed peas.",Konkan
Fatayer Bi Jibneh - Middle Eastern Cheese Pie,Here is a delicious Middle Eastern Cheese Bread also as Fatayer bi Jibneh that is made from freshly yeasted bread which is made from fresh cheese combined along with herbs and peppers to make it delicious.,Middle Eastern
Masoor Dal Gassi Recipe - Lentils in Tangy Coconut Curry,"The Masoor Dal Gassi Recipe is a spicy, tangy gravy made with whole masoor dal with the skins on, is a typical Mangalorean specialty. Gassi is a staple curry in the Mangalore and Malnad areas of Karnataka that is essentially made of fresh spices ground down with coconut to form the base of the gravy. ",Mangalorean
Mexican Style Sopa De Frijol Recipe - Red Kidney Beans Soup,"Mexican Red Kidney Beans Soup Recipe (Sopa De Frijol) is a creamy soup dish made out of red kidney beans and mixed herbs it is a healthy soup which makes you feel full. In India, the red kidney beans are called rajma and it is one among the favourites of all. The soup is flavourful and will be enjoyed by all.",Mexican
Coriander Tamarind Millet Rice Recipe,"Tamarind Rice is a common feature in a South Indian kitchen, but mostly loved everywhere, here is a little twist to tamarind rice with lots of coriander and goodness of millets, perfect for a working day. This is a low GI recipe suitable for diabetics. You can make it for your weekday dinners when you want to eat some healthy yet tasty.",Indian
Classic Pizza Margherita Recipe - Pizza Topped With Cheese And Tomato Sauce,"Pizza Margherita is a classic Pizza recipe where the flatbread is topped up with tomato sauce & mozzarella cheese. The process of making pizza dough in this recipe is quite similar to the Dominos pizza base. This pizza is just like the Dominos Style Pizza. Once you make it, we are sure you will make it again and again.",Italian Recipes
Yogurt Lamb Curry Recipe,"Lamb is the most popular meat used in Kashmiri cuisine. Wazwan, a royal feast, which is a multi-course meal spread consists mostly non vegetarian dishes. Most of the dishes are lamb based dishes, chicken is used too. It’s a feast fit for kings and consists of an array of about more than 30-course banquet. Rogan gosh, goshtaba, saffron pulao, kahwa, phirnee being some of the most popular dishes. In Kashmiri cuisine curd is used in most of the dishes, be it for gravy or in marinating. A range of aromatic spices, dry fruits, ghee, saffron, Kashmiri red chilies are used in cooking. This yogurt lamb curry is not really an authentic Kashmiri curry, because traditionally mawal flowers are used in the curry. Since I do not have access to mawal flowers I modified the recipe according to my conveniences.",Indian
Foxtail Millet Pilaf Recipe,Foxtail Millet Pilaf Recipe is a one pot delight that has the right flavor of sweet and savory. Pilaf is generally a dish that is made with rice and seasoned with enough broth to create a well-balanced flavorful dish. The rice gets a brown or golden color usually by sautéing with oil till the broth has all evaporated. Adding various seafood and meat is a specialty in Middle Eastern region but we have made it simple and vegetarian. The use of pearl onions and mushroom will create good flavors and the addition of prunes and raisins will enrich the whole dish. The whole process is made in pressure cooker to make it simpler.,Middle Eastern
Kala Chana Pilaf Recipe,"Kala Chana Pilaf Recipe is adapted from the Pakistani Cuisine. Pilaf is a flavourful rice dish, usually cooked with the white or red meats in Pakistan. The addition of whole garam masala adds a beautiful flavour to the dish. We have substituted the white chana with the kala chana to make it more healthy. The cinnamon quill adds a mild sweetness to the pilaf. Serve the Kala Chana Pilaf Recipe along with Spicy Chicken Curry, Cauliflower & Cucumber Raita and Fresh Garden Salad Recipe for the weekend brunch.",Pakistani
Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,"Alugadde Batani Gasi Recipe is a delicious Udupi style coconut based potatoes and green peas curry. Udupi cuisine uses a lot of coconut, and the curries are flavoured with the freshly ground masalas which gives it a distinctive flavour.",Udupi
Cauliflower In Coconut Milk Curry Recipe,"The Cauliflower In Coconut Milk Curry is a perfect blend of pan roasted cauliflowers and bell peppers that are simmered in a delicate coconut milk curry flavored with coriander powder, curry leaves, chillies, cloves and cinnamon.",Indian
Bitter Gourd Peel Puri Recipe,"Bitter Gourd Peel Puri Recipe, is an innovative trial on a very famous Indian bread that is fried in deep oil. The bitter gourd peel is often thrown away and is not used in most of the dishes because of the strong bitterness from the vegetable. But very little it is known about its nutritional benefits to the skin.",North Indian Recipes
Easy Spaghetti Recipe In Creamy Tomato Sauce  | Vegetarian & Kid Friendly,"Spaghetti Recipe In Creamy Tomato Sauce is a delicious recipe for the kids where the pasta is made saucy with Del Monte Spaghetti Pasta. The pasta is packed with flavors from the tomato basil sauce, garlic and basil, making it refreshing. The addition of roasted carrots and capsicum makes this pasta great tasting and healthy as well.",Italian Recipes
Tomato and Zucchini Recipe omelette,"Tomato and Zucchini Frittata Recipe is all you need for your morning breakfast. The frittata is stuffed with fresh juicy tomatoes and zucchini slices and flavored with oregano, thyme and red chili flakes. The frittata is a very healthy start to your morning breakfast as it contains a good amount of protein and essential vitamins from the veggies.",Continental
Bitter Gourd Peel Puri Recipe,"Bitter Gourd Peel Puri Recipe, is an innovative trial on a very famous Indian bread that is fried in deep oil. The bitter gourd peel is often thrown away and is not used in most of the dishes because of the strong bitterness from the vegetable. But very little it is known about its nutritional benefits to the skin.",North Indian Recipes
Easy Spaghetti Recipe In Creamy Tomato Sauce  | Vegetarian & Kid Friendly,"Spaghetti Recipe In Creamy Tomato Sauce is a delicious recipe for the kids where the pasta is made saucy with Del Monte Spaghetti Pasta. The pasta is packed with flavors from the tomato basil sauce, garlic and basil, making it refreshing. The addition of roasted carrots and capsicum makes this pasta great tasting and healthy as well.",Italian Recipes
Tomato and Zucchini Recipe omelette,"Tomato and Zucchini Frittata Recipe is all you need for your morning breakfast. The frittata is stuffed with fresh juicy tomatoes and zucchini slices and flavored with oregano, thyme and red chili flakes. The frittata is a very healthy start to your morning breakfast as it contains a good amount of protein and essential vitamins from the veggies.",Continental
Spicy Haryana Style Egg Curry Recipe,"A drive in Haryana's highways is never complete without a meal of spicy egg curry with fresh roti's. The dhaba variant is spicy, oily and delicious and this home adaptation of the same curry is an attempt to bring the same flavours to your table in a healthier manner. One of the things that stand apart in the Haryana Style Egg Curry is the addition of peas and paneer to it making the already rich protein curry even more wholesome.",Haryana
Menthi Aaku Badeela Koora Recipe - Besan Muthia Cooked With Methi Leaves,Badeela Koora is a traditional dry curry recipe of Telangana household made using just a handful ingredients where Fenugreek leaves and Chickpea flour are the main ingredients.,Andhra
"Pesto Pizza Recipe With Sun Dried Tomatoes, Mushrooms, Pineapples And Olives","Pesto Pizza With Sun Dried Tomatoes, Mushrooms, Pineapples And Olives is one of the endless variants possible when making pizzas.",Italian Recipes
Lahori Aloo Recipe,"Lahori Aloo is a rich yet spicy curry which gets tanginess from tomatoes and creaminess from the dry coconut, poppy seeds and milk. This curry made with baby potatoes is perfect with poori, parathas or even rice. This luscious gravy can be a perfect part of your detailed brunch or an indulgent breakfast.",Pakistani
Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine),"Chettinad Vengaya Kosu Recipe is a flavorful spicy gravy from Chettinad cuisine. This gravy is very simple and easy to make with just two basic ingredients, onion and tomato. Alternatively, you can add potatoes to prepare Chettinad Vengaya Kosu along with onions and tomatoes.",Chettinad
Mussels In Asian Style Recipe,Mussels in Asian Style is a quick way to fix your lunch or dinner. Turmeric powder is used in this recipe to hide the strong smell of mussels. But you can totally skip it. You can serve it as a side dish along with your meal.,Asian
Soya chunks sabzi,Soya Chunks Sabzi is an easy Indian dry sabzi idea which is proteinaceous owing to soya chunks and delicious because of tempered onions and tomato. This recipe goes well with Indian bread like Phulka or Chapati/Tawa paratha. Pair it up with rice for a wholesome weekday meal.,Indian
Kori Gassi Recipe - Mangalorean Traditional Chicken Curry With Coconut Milk,"Kori Gassi Recipe  is a traditional Mangalorean chicken curry made with coconut milk. The delicious curry has a base of coconut and red chilli, an absolute classic from the coastal region of Mangalore. In Tulu language, Chicken is called Kori and Gassi is known as curry. This curry has a lovely blend of different fragrant spices, which is quite unique to Mangalorean cultural and heritage. ",Mangalorean
Vegetarian Laksa Curry Recipe,"Laksa Curry is a popular Malaysian soup made using rice noodles, meat, vegetables and a spicy coconut milk curry. This aromatic Vegetarian Curry Laksa is a one-pot meal which combines fresh vegetables with a spicy coconut milk curry. This recipe also suggests a few local substitutes in case the original ingredients are not easily available. The recipe and ingredient list can seem a bit intimidating but with some advance prepping you can simplify the process and save time, like chopping the vegetables and making the Laksa paste in advance.",Asian
Vazhaithandu Poriyal Recipe | Banana Stem Curry with No Onion and No Garlic,"Vazhaithandu Poriyal recipe is a delectable banana stem curry crafted without onion and garlic, perfect for those seeking a lighter, yet equally flavorsome, meal option.",South Indian Recipes
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry ,"Mangalorean Style Sonay Sukhe is a very important dish for every Mangalorean meal plate. The preparation starts by tempering the mustard seeds, curry leaves, onion and garlic which is called as “Sukka”. It is used in most of the south Indian language in regions like Konkani, Karnataka and Mangalore.  You can as well use the same method in this recipe for many other legumes such as black channa, black eyed peas etc.",Mangalorean
Maharashtrian Peanut Curry Recipe | Shengdanachi Amti | Nutty & Spicy Delight,"If you're looking to bring the authentic flavors of Maharashtra into your kitchen, this Peanut Curry Recipe | Shengdanachi Amti is a perfect choice. This traditional Maharashtrian curry, known locally as Shengdanachi Amti, is a nutty and spicy delight that will tantalize your taste buds and add a unique twist to your usual curry repertoire. Let’s dive into the rich and aromatic world of this regional specialty.",Maharashtrian Recipes
Spiced Watermelon Curry Recipe With Carrots & Peppers,"The Spiced Watermelon Curry Recipe is one of those dishes that you must try when watermelons are in season. This watermelon curry is subtly spiced with ajwain and chillies, along with the addition of roasted vegetables, that bring out refreshing flavors and taste. ",Indian
Andhra style vankaya kothimeera karam koora recipe,"Brinjal cooked in coriander paste tastes heavenly in this Andhra Style Vankaya Kothimeera Karam Koora Recipe. Very easy to make, this curry goes well for a traditional Andhra lunch. T",Andhra
 Lemon Coriander Soup Recipe,"Lemon Coriander Soup Recipe is a light and healthy soup with delicious flavour notes from the fresh coriander leaves and lemon juice. The soup is also flavoured with ginger, garlic and onion.  With a simple seasoning of salt and pepper, the soup tastes great. ",Indo Chinese
Raw Banana and Banana Stem Stuffed Paratha Recipe,"Raw Banana and Banana Stem Stuffed Paratha Recipe is a super healthy stuffed Indian bread that contains two ingredients that have a good nutritional value. Parathas are a staple breakfast for most of the North Indian people. It is usually made with Aloo, onion or paneer as a stuffing. But it is very rare to use raw banana and raw stem in a stuffed paratha, here in this recipe we have put them together in one dish that is made super delicious and can be had without any guilt as your morning breakfast.",Indian
Vendakkai-vazhakkai Mor Kuzhambu Recipe (Tamil Nadu Style Lady's Finger & RAW Banana Curry),"Vendakkai-Vazhakkai Mor Kuzhambu Recipe is a Tamil Nadu Style Lady's Finger & Raw Banana Curry cooked in buttermilk. This is a popular side dish along with steamed rice. In Tamil Nadu, this Mor kuzhambu is prepared with mixed vegetables or a single vegetable, is tangy and flavourful if made with mixed vegetables.",Tamil Nadu
Spicy Chow Mein Noodle Wrap Recipe,"Spicy Chow Mein Noodle Wrap Recipe uses Thai rice paper to wrap noodles and vegetables  sauteed in various sauces . This recipe is typically adapted from Chinese and Thai Cuisine. These wraps make an ideal snack option for kids tiffin, kitty parties, birthday parties etc.",Fusion
Mangalorean Padengi Gassi Recipe - Green Moong Dal Curry,The Mangalorean Padengi Gassi Recipe is a wholesome curry that is made from Sprouted Green Moong Dal.,Mangalorean
Methi Bajra Poori Recipe,"Methi Bajra Poori as the name suggests, is deep fried, puffed bread made using fresh Methi (fenugreek) leaves and Bajra (millet) flour. The fresh Methi leaves add an amazing flavour and a characteristic bitter taste to the pooris. Bajra adds an earthy taste and makes the puris slightly crunchy. Use fresh Bajra flour for best results. The next time you need a ‘deep fried drip’, make these flavourful Methi Bajra Pooris.",Indian
Kodava Kummu Curry Recipe- Coorg Style Mushroom Curry ,"Kodava Kummu Curry Recipe- Spicy Mushroom Gravy is an authentic recipe that hails from kodava district which is a part of Coorg. Mushrooms are locally known as kummu in their local language. The curry is made with ground coconut, jeera seeds and garlic that is simmered with sautéed onions and tomatoes.",Coorg
Delightful Coorg Style Kaad Manga Curry Recipe: Sweet & Spicy Mango Curry,"Coorg Style Kaad Manga Curry Recipe which is a Sweet & Spicy curry made with tiny wild mangoes available locally in and around Coorg & Madikeri. Though it is a very very simple dish with just a few ingredients, the mango curry tastes absolutely delicious and has both the flavours of sweetness and tanginess flared with just a bit of spice.",Coorg
Hyderabadi Bagara Baingan Recipe - Brinjal in Spicy Peanut Curry,"Hyderabadi Bagara Baingan is a delicious preparation that is made from roasted brinjal/eggplant/ baingan. The base curry of the Bagara Baingan recipe is made from tamarind, peanuts and sesame seeds.",Hyderabadi
Tofu Peanut Stir Fry Recipe,"Tofu Peanut Stir Fry Recipe is made by pan frying tofu till it crispy and tossing it with homemade Thai-style peanut sauce that’s loaded with ginger, garlic, peanut butter, brown sugar, and a squeeze of lime juice. This sweet salty crunchy tofu Peanut Stir fry is worthy to make for a party and ticks all the boxes when it comes to a Thai style dish. ",Thai
Royyala Kura Recipe (Andhra Style Prawn Curry),Royyala Kura is an easy Prawn Curry cooked in Andhra Style. It is not only healthy but it hardly takes much time to cook. Serve it with some rice or chapati and enjoy. The taste of tomato and spices makes this curry even more delicious. It is a bit spicy but you can adjust the spice level according to your taste and preference.,Andhra
Spinach Corn Pasta Recipe In Creamy White Sauce,"The Spinach Corn Pasta Recipe is a great wholesome dish laced with goodness of spinach and cooked in whole wheat white sauce. The recipe is packed with flavors from garlic, spinach and sweet corn, making it a kids favorite pasta. ",Italian Recipes
अरबी अजवाइन की सब्ज़ी - Roasted Colocasia Stir Fry With Ajwain (Recipe In Hindi) ,"अरबी अजवाइन की सब्ज़ी एक बहुत ही सरल सब्ज़ी है जिसमे अरबी को अजवाइन के साथ पकाया जाता है. अरबी की सब्ज़ी सेहत के लिए भी अछि होती है क्यों इसमें फाइबर, कार्बोहाइड्रेट्स, विटामिन A और C होता है. इस सब्ज़ी को बनाने के लिए अरबी को प्रेशर कुकर में उबला जाता है और उसे फिर उसमे अजवाइन डाली जाती है.",Rajasthani
Goan Style Sangacho Ross Recipe-Drumstick Curry,"Sangacho Ross Recipe is a traditional Goan Drumstick Curry that is delicious, nutritious and one of the typical preparations during vegetarian days in a Goan household. This is a complex curry, made with simple ingredients. It gets its texture thanks to the coconut, extra depth and silkiness from the dal and a whole load of nutrition from the drumsticks. Kokum is usually used as the souring agent, but like in this recipe you can use tamarind which is easily available in every home. ",Goan Recipes
Beetroot tambuli recipe,"Beetroot Tambuli Recipe is a beetroot-yogurt based curry made Karnataka style. Cooling during summers, this coconut based curry with a simple tempering of mustard seeds, curry leaves and dry red chillies.",Indian
Roasted Garlic No Knead Skillet Bread Recipe With Olives,"Roasted Garlic No Knead Skillet Bread Recipe is a lovely dense bread, that requires absolutely mo kneading. The dough is made by combining all purpose flour along with yeast, salt, dried mixed herbs, olives, brought together with some warm water. ",Continental
Paruppu Urundai Rasam Recipe - Dal Dumpling Rasam,"Paruppu Urundai Rasam is a traditional recipe from tamil nadu where the rasam is simmered in a steamed dal dumplings called as Paruppu Urundai along with fresh spices and you will not need any rasam powder to make it, but simple ingredients in your kitchen.",South Indian Recipes
Italian Pasta Sizzler Recipe,"Sizzlers are very popular in restaurant menus across the world, especially with youngsters. While there are varieties of sizzlers, the Italian Sizzler is a crowd pleaser. This sizzler is a complete Italian meal by itself, comprising of garlic bread, roasted vegetables, choice of pasta and choice of sauce. This sizzler can be assembled at home by following this simple recipe.",Italian Recipes
Mixed Vegetable Koora Recipe - Mixed Vegetable Poriyal,"Kalle Koora also known as the Mixed Vegetable Koora Recipe is a mixed winter vegetable curry or poriyal specially made during Sankranti festival using the freshly harvested winter vegetables like Sweet potato, Potato, Broad beans, Carrots and Fenugreek leaves.",Andhra
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,This recipe of Kerala Style White Pumpkin Mor Kuzhambu is a classic Kerala dish that is a sure dish that is prepared at least one day a week. The simplicity of the dish and the number of ingredients with which it can be made is one of the reasons it is prepared so often.,Kerala Recipes
Crunchy Corn Cereal Yogurt Parfait Recipe- A Wholesome Breakfast,"Crunchy Corn and Raisin Delight is a perfect summer time breakfast with yogurt and fruits topped with corn flakes. It is simple, light, refreshing and fruity breakfast. I have used corn flakes in this version of this parfait, but you can add muesli or any other cereal of your choice.",Continental
Rajasthani Dal Bati Churma Recipe | Dhaba Style recipe,"Rajasthani Dal Bati Churma Recipe is a very traditional recipe from Rajasthan and one if the favorites at home. The Baatis are made from whole wheat flour, sooji and ghee with the addition of ajwain that adds to the delicious flavor of the baati.",Rajasthani
Kerala Style Taroo Root Curry Recipe (Colacasia),"Kerala Style Taro Root Curry uses Arbi  which is widely used across India in various ways. This Kerala style Taro Root curry is made using fresh coconut and is classically served with steamed rice. Malabar tamarind is traditionally used as a souring agent, which also helps in destroying the allergens, if any, from the starchy tuber. Though it has a distinct smoky flavor, you can substitute the Malabar tamarind with dried Kokum skin or the regular tamarind. ",Kerala Recipes
Zucchini Salad Recipe With Thai Hot Chili Dressing,"Zucchini Salad with Thai Hot Chilli Dressing is a very healthy, easy & delicious recipe. The heat from the Thai dressing coupled with freshly chopped Thai basil adds to the freshness of this nutritious salad. Serve Zucchini Salad Recipe With Thai Hot Chili Dressing in the evening with a sandwich like Peanut Butter Banana Sandwich Recipe as an evening snack on a hot day, or serve this salad with a Spicy Vegetable Noodles Recipes and Thai Style Fried Bananas Recipe for a complete meal.",Continental
